L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
12169680,7,2864,7,136948,7830,2918,97,8040,6,189182606,498665246,50274227
12506629,1,2265,0,137884,8009,2870,106,8219,0,190208753,505340102,50312153
6028834,11,1762,47,154396,11827,3340,172,14080,94,189203470,426308292,50274270
5967920,11,1893,21,230857,8364,2792,62,9244,37,189578351,425680573,50309851
5399792,29,3458,59,239522,8586,2894,125,13021,69,179645076,404189709,50287756
5466618,6,3166,53,234100,10415,2894,100,10157,25,188789265,428597400,50374977
5993478,14,1800,26,230592,9123,2748,112,9732,50,190445846,426730292,50297088
5197947,10,2088,29,240873,8653,2928,63,8418,15,189612083,426852982,50318246
6171082,4,1863,102,226038,11124,2954,96,8172,25,189294241,428251089,50296992
5835034,0,1923,77,223446,10699,2800,131,14076,66,185048324,418936571,50332860
6305534,12,3854,149162,177435,18866,3600,54,11038,31,187963125,428888040,50301561
11724053,8,2134,12,174282,10582,3673,52,10531,16,182692802,504416235,50298580
11768571,10,2415,4,185519,10874,3801,54,10585,0,182824953,508935544,50314715
11068225,58,3526,96,334286,14921,3685,108,11035,60,189620374,501605511,50315469
5172414,36,2619,41,329106,9931,3526,138,11185,74,188621524,443671615,50281561
5028985,15,2625,67,326394,11360,3629,110,11346,60,188059634,442833776,50319649
5176309,9,2456,64,326032,15533,3803,100,10736,79,188452766,446515042,50286386
5217597,19,2552,65,324872,10689,3780,94,10368,131,189628559,452035547,50320265
5462211,22,2021,95,330941,10859,3674,128,11016,91,189259177,447669182,50290759
7744832,3,1995,81938,207972,22220,9805,4677,7826,3,190058872,491238207,50325798
8246446,32,4917,61,116486,7936,2834,34,7981,18,185231977,479300022,50275739
8510165,5,2773,41,117968,7694,2728,47,7660,22,188702469,495943116,50389995
8634891,11,2341,13,120026,8006,2806,56,8006,0,189218325,493900512,50280457
4550480,5,1990,7,200602,13527,3638,9,11128,6,189915327,465437063,50312474
4681552,0,2048,11,277857,10510,3155,3,13841,91,184082051,446709847,50282419
4196058,0,1730,11,284514,12100,3384,3,10030,6,187688704,468553630,50325484
4660132,0,2116,7,279213,9519,3206,6,8681,18,188958073,468247784,50289697
4200817,0,2179,0,285061,8353,3222,6,8267,6,189201825,472015364,50315132
4853412,12,1766,14,274886,8276,3325,11,10059,18,190371811,468580209,50279074
4635176,6,1717,0,277728,7923,2980,2,8897,25,189603241,468934277,50321729
8158119,12,2207,2890,592732,16366,4885,7967,16303,2977,190160602,485906674,50308247
8034946,0,1957,2908,580028,5812,581,1336,4449,2833,185233320,475892252,50359544
7963408,29,2197,2963,523141,3492,592,1274,3971,3233,185761075,480590673,50288384
7779909,8,5255,3130,566481,4192,553,1326,4151,3059,182542668,469994383,50326542
7957072,18,2420,3008,555880,3506,483,1335,3462,3049,188636751,482704414,50283268
8027284,5,2016,2886,579488,4380,506,1339,4198,2909,187874681,479870683,50313617
7002357,0,2119,2972,584978,4370,537,1266,11134,2503,188652098,472398626,50271034
4989068,1,2108,2164,921031,5523,544,987,4749,2122,189051950,465184769,50330069
4883795,1,4047,2181,870247,5344,462,965,3699,2103,188640131,470567281,50295925
