L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
18745877,607,2337880,0,1709735,28,166,9,11,0,378345369,862924883,100248301
19598616,681,2656796,0,1588615,391,448,6,384,0,377276122,864354315,100253232
19725564,702,2789532,0,1584763,6,447,12,6,0,376665554,857763270,100248764
19809951,636,2853317,51,1419877,1098,1148,9,719,6,376216685,859989667,100250769
19938823,575,2899420,0,1535655,12,545,6,3,0,376864283,864357474,100266278
19950444,742,2815432,0,1591329,21,444,3,15,0,378641460,866544746,100252325
19981884,618,2697530,0,1498212,5,257,3,3,0,376821438,873649717,100251400
19656879,682,2580753,0,1557951,2,580,8,3,0,376262348,857068031,100253924
19245330,565,2506307,4,1375210,11,453,5,17,0,371568316,848720803,100247063
19473864,670,2523481,65,1412823,181,238,0,71,14,373635006,858347511,100254561
19958712,724,2580401,0,1435431,6,567,11,13,5,378975211,871856458,100268001
19830872,659,2627881,8,1534712,9,294,8,5,0,377316532,864470608,100249929
19715345,629,2661029,0,1410704,40,397,9,18,0,375781790,866561239,100258074
19916645,585,2686458,0,1282944,9,551,6,12,0,376357837,878099498,100252191
20054227,560,2722017,0,1250842,15,247,0,6,0,376231972,885631228,100240771
19982916,544,2721617,11,1178241,236,188,0,615,56,370200449,889195421,100253338
20288926,644,2839980,3,1254955,6,426,0,15,0,376261033,890108706,100262750
20433659,532,2922217,0,1161836,30,640,0,6,0,378042390,890891824,100250085
20816641,549,3062700,0,1215227,74,174,0,109,6,378638515,899577611,100255281
21393570,555,3209161,0,982386,16,1554,2,9,0,378286980,909367728,100255097
20582158,478,3116339,0,1096654,8,672,0,16,0,375505883,899183607,100246678
