L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-store-misses,L2-load-misses,cycles,instructions,ns
137747637,37600,5483155,4738922,18457203,28281415,18143712,2356970,4754176,28228121,4417026856,3491377375,2000901700
139685136,49838,5620166,4336342,19109685,27894560,18201240,2236926,4317005,28207584,4524531212,3596055904,2000863185
138649720,53695,6187500,4213649,19033392,28072762,18330574,2226383,4227615,28032716,4520783942,3620566877,2000832032
90172852,153043,10332694,3241798,12716761,23201964,11679121,1404917,3238399,23454780,3783574721,2250155955,2000717828
126581781,81617,6603527,3805528,17509869,25999535,16507834,1965922,3837639,26280990,4152093485,3297494556,2000628343
121440142,87524,8757140,3790745,16564310,26667974,15858591,1895243,3865551,26737550,4251448192,3127754421,2000582313
112077499,131519,8564457,3712989,15413599,25865959,14858337,1739317,3672504,25375379,4166061960,2846911958,2001014501
122282136,101552,6991347,3892463,16897856,26459143,15984664,1836959,3867845,26543846,4129415200,3090139366,2000914347
94063872,154324,10490710,3551926,12826505,23571573,12388761,1496223,3552387,23765932,3722453568,2240497454,2000654082
126033021,89600,6816085,4235005,17229341,27382006,16711591,1963467,4188980,27203847,4156172555,3141874615,2000710361
100622635,117181,8630375,3621685,13775786,24455303,13072678,1630455,3686601,24726845,3875315139,2470749552,2000734968
121864765,94873,7551585,4246256,17060399,27187947,16037494,1992883,4261485,26943110,4215822879,3038231710,2001166906
118565985,69224,7391878,3993934,16348982,26528483,15834885,1907699,3994606,26516278,4181268027,2974517538,2000737369
133051900,43092,5754149,4197958,17975212,27960930,17535388,2109891,4199062,27943962,4350967766,3401850840,2000683367
133534142,48887,5720267,4113553,18282599,27790500,17699256,2095187,4117965,27842932,4385832039,3453988843,2000774945
135716784,41614,5356519,4097572,18480353,27763896,17856918,2093550,4088505,27882269,4412407226,3509974753,2000829255
135596538,56855,5859587,4022376,18646983,27649534,17796047,2096230,4024701,27839255,4442765594,3523924425,2000800658
120332709,73878,6941522,3766160,16755413,26419914,16009416,1865219,3763353,26331042,4212203572,3097654496,2000802629
135511476,38520,5579225,4102549,18312439,27927234,17855079,2116263,4074537,27977047,4398572393,3503407153,2000632939
134007955,56580,5801340,4094981,17991941,27933985,17706898,2123239,4090541,27798714,4373760646,3474736044,2000598013
117007522,91853,8180617,3728108,16121263,25921493,15193530,1801332,3670820,26040016,4111643343,2989620711,2000607560
126385698,71804,6718576,3959468,17364492,26928027,16750791,1985486,3913828,26875567,4244527270,3265050441,2000594728
115470997,75312,7157876,3638504,15761670,25525485,15063981,1782510,3641315,25556071,4049378264,2981926508,2000955103
111889843,95029,8258244,3717477,15454502,25298911,14721507,1780856,3739005,25329168,4053708617,2863018095,2000741731
92759230,128890,10124770,3206795,13030276,23192464,12012063,1410582,3190308,23010781,3774762182,2291725930,2000748818
123712920,84742,6582425,4140309,16930344,27093418,16296490,1985397,4147173,26942494,4125007335,3134512529,2000732073
126225078,65345,5973707,4396010,17157258,27463085,16631434,2114910,4390507,27352639,4181498564,3214721596,2000801834
128770065,53852,5468442,4642040,17423673,27931635,16935366,2200498,4585413,27933774,4334454486,3297428500,2000745106
128361953,65670,8416329,4617061,18419401,28038046,16545704,2186769,4707040,28520552,4612098939,3260479678,2000826770
132154830,41079,6368723,4662913,17873609,28352868,17469333,2322451,4727484,28081754,4389654115,3410820533,2000829212
79809336,161958,10950596,3351971,11593689,22643220,10628168,1391357,3360895,22479792,3711367169,1957165551,2000839403
79155092,136413,11985414,3202145,11733520,21337325,10048671,1339980,3203829,21159058,3596105426,1891010343,2000924728
78523487,155696,10680354,3302655,10954834,22255513,9988382,1312371,3275634,22208131,3543485868,1905291512,2001499666
73646902,131645,11560471,3051753,10423820,20120079,9271528,1220329,2954021,20022159,3647408216,1774261822,2001093633
